2024-03-28 09:50:05.941761	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2F44e107d1-9e38-4e2b-bd78-63f73c9572a1%2F&files.file_type=bed+narrowPeak&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR110JOZ/	ENCSR110JOZ	ChIP-seq	TF ChIP-seq	whole organisms	/targets/Lim3-dmelanogaster/	Lim3	Lim3	Drosophila melanogaster strain Lim3-GFP whole organism embryo (8-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Lim3	whole organism	GEO:GSE256611	ChIP-seq on transgenic flies expressing Lim3-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF095ELS/,/files/ENCFF623VHL/,/files/ENCFF241OTH/,/files/ENCFF197FSP/,/files/ENCFF864YPF/,/files/ENCFF979FSE/,/files/ENCFF668FLE/,/files/ENCFF644HXK/,/files/ENCFF950XNR/,/files/ENCFF974VHE/,/files/ENCFF230ZQU/,/files/ENCFF897NVX/,/files/ENCFF114SXV/,/files/ENCFF324IHC/,/files/ENCFF228QBZ/,/files/ENCFF538VXK/,/files/ENCFF086AMT/,/files/ENCFF504GZJ/,/files/ENCFF300YWE/,/files/ENCFF928YVZ/,/files/ENCFF008HWE/,/files/ENCFF785CBQ/,/files/ENCFF342CAQ/,/files/ENCFF737HPI/,/files/ENCFF599QTL/,/files/ENCFF407QNS/		ENCBS149PRN,ENCBS943OYQ	2,1	1	ENCAB728YTO	Drosophila melanogaster	embryonic	8-24 hours										/organisms/dmelanogaster/		/replicates/b0ef8eb4-6088-477f-b830-649bec16bd72/,/replicates/d0fdf842-499e-4058-bf3e-9acfbe2a017e/				
/experiments/ENCSR387WYA/	ENCSR387WYA	ChIP-seq	TF ChIP-seq	whole organisms	/targets/CG8765-dmelanogaster/	CG8765	CG8765	Drosophila melanogaster strain CG8765-GFP whole organism embryo (0-8 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG8765	whole organism	GEO:GSE257808	ChIP-seq on transgenic flies expressing CG8765-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF865BQJ/,/files/ENCFF564CCM/,/files/ENCFF914UVL/,/files/ENCFF589UIO/,/files/ENCFF443BVF/,/files/ENCFF613NZT/,/files/ENCFF435BYB/,/files/ENCFF790FWI/,/files/ENCFF027BSM/,/files/ENCFF926IGF/,/files/ENCFF933MHZ/,/files/ENCFF500LUT/,/files/ENCFF835GZG/,/files/ENCFF619ADB/,/files/ENCFF616MJS/,/files/ENCFF981AQV/,/files/ENCFF108XMA/,/files/ENCFF602YIL/,/files/ENCFF548FDC/,/files/ENCFF259LTG/,/files/ENCFF838NYR/,/files/ENCFF917EGM/,/files/ENCFF640EST/,/files/ENCFF952KRB/,/files/ENCFF803FCY/,/files/ENCFF549CZR/		ENCBS359RZT,ENCBS372EVP	2,1	1	ENCAB728YTO	Drosophila melanogaster	embryonic	0-8 hours										/organisms/dmelanogaster/		/replicates/4d10e140-638f-4f30-9d6b-662cba20d9fc/,/replicates/47487fc8-91e3-49b2-89ed-afb071020c19/				
/experiments/ENCSR321DCY/	ENCSR321DCY	ChIP-seq	TF ChIP-seq	whole organisms	/targets/wor-dmelanogaster/	wor	wor	Drosophila melanogaster strain wor-GFP whole organism embryo (0-18 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster wor	whole organism	GEO:GSE256998	ChIP-seq on transgenic flies expressing wor-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF871CAZ/,/files/ENCFF974KMN/,/files/ENCFF383IVB/,/files/ENCFF709HJL/,/files/ENCFF822YSF/,/files/ENCFF437DZE/,/files/ENCFF661DQR/,/files/ENCFF800RHI/,/files/ENCFF150TUS/,/files/ENCFF898EZD/,/files/ENCFF822GFY/,/files/ENCFF376MPL/,/files/ENCFF354FSM/,/files/ENCFF258CYK/,/files/ENCFF184GQZ/,/files/ENCFF349ZVT/,/files/ENCFF060HAZ/,/files/ENCFF219VVC/,/files/ENCFF433IHW/,/files/ENCFF388EGS/,/files/ENCFF722PVB/,/files/ENCFF901ISJ/,/files/ENCFF222YVU/,/files/ENCFF103AEC/,/files/ENCFF684HRM/,/files/ENCFF381QJB/		ENCBS365RCD,ENCBS947EFK	1,2	1	ENCAB728YTO	Drosophila melanogaster	embryonic	0-18 hours										/organisms/dmelanogaster/		/replicates/a4bcecae-fabd-4b58-a94a-c043dc1be095/,/replicates/b6796f72-bd4f-48ac-9e5d-db010b502102/				
/experiments/ENCSR098MLT/	ENCSR098MLT	ChIP-seq	TF ChIP-seq	whole organisms	/targets/danr-dmelanogaster/	danr	danr	Drosophila melanogaster strain danr-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster danr	whole organism	GEO:GSE257395	ChIP-seq on transgenic flies expressing danr-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF066GZV/,/files/ENCFF765NNY/,/files/ENCFF308LVD/,/files/ENCFF601NZX/,/files/ENCFF490LHX/,/files/ENCFF854ZJJ/,/files/ENCFF382CTI/,/files/ENCFF922EMG/,/files/ENCFF685WUU/,/files/ENCFF910LKE/,/files/ENCFF004CJK/,/files/ENCFF560TUP/,/files/ENCFF194NIG/,/files/ENCFF849MDW/,/files/ENCFF706RXM/,/files/ENCFF951SPK/,/files/ENCFF020CFP/,/files/ENCFF100IXN/,/files/ENCFF214OEY/,/files/ENCFF636HIB/,/files/ENCFF277DMS/,/files/ENCFF765VRD/,/files/ENCFF293PMJ/,/files/ENCFF852EKZ/,/files/ENCFF632MEC/,/files/ENCFF538NNY/		ENCBS415MQX,ENCBS493WRP	1,2	1	ENCAB728YTO	Drosophila melanogaster	embryonic	0-24 hours										/organisms/dmelanogaster/		/replicates/db36ad01-f13e-4502-a49f-0c9c409888b7/,/replicates/1d1cfda1-1e8b-44b1-909a-4e47f1f4d7c7/				
/experiments/ENCSR031QSB/	ENCSR031QSB	ChIP-seq	TF ChIP-seq	whole organisms	/targets/Optix-dmelanogaster/	Optix	Optix	Drosophila melanogaster strain Optix-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Optix	whole organism	GEO:GSE256821	ChIP-seq on transgenic flies expressing Optix-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF747YZF/,/files/ENCFF131CHX/,/files/ENCFF016BEH/,/files/ENCFF750VWC/,/files/ENCFF497YEY/,/files/ENCFF305TYU/,/files/ENCFF366MBT/,/files/ENCFF191RBK/,/files/ENCFF440CVP/,/files/ENCFF404KZE/,/files/ENCFF767PKK/,/files/ENCFF552CFU/,/files/ENCFF535OZX/,/files/ENCFF691MTA/,/files/ENCFF770YHP/,/files/ENCFF820RUO/,/files/ENCFF857ETP/,/files/ENCFF384YLB/,/files/ENCFF651MPO/,/files/ENCFF874OHE/,/files/ENCFF280RBO/,/files/ENCFF923UWR/,/files/ENCFF579OGS/,/files/ENCFF719WDI/,/files/ENCFF418JBF/,/files/ENCFF526VFN/,/files/ENCFF380FQF/,/files/ENCFF613IJS/,/files/ENCFF600OQH/,/files/ENCFF917SCV/,/files/ENCFF946TYE/,/files/ENCFF432PRZ/,/files/ENCFF567XAG/,/files/ENCFF633ZIF/,/files/ENCFF989CGA/,/files/ENCFF966GDU/,/files/ENCFF092PYG/,/files/ENCFF380ZCL/,/files/ENCFF644KHD/,/files/ENCFF473EYA/,/files/ENCFF143WMU/		ENCBS349JZQ,ENCBS491RRX,ENCBS223JPS	1,2,3	1	ENCAB728YTO	Drosophila melanogaster	embryonic	0-24 hours										/organisms/dmelanogaster/		/replicates/7f7013b2-5aa3-4d66-8d32-d7f2a7d32dcf/,/replicates/c42641cf-e498-482e-8922-a28498f152f1/,/replicates/59828bcc-acaf-4e6e-bc97-878827014d9b/				
/experiments/ENCSR288VXK/	ENCSR288VXK	ChIP-seq	TF ChIP-seq	whole organisms	/targets/Dip2-dmelanogaster/	Dip2	Dlip2	Drosophila melanogaster strain Dip2-GFP whole organism embryo (0-18 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Dlip2	whole organism	GEO:GSE256702	ChIP-seq on transgenic flies expressing Dip2-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF123MZX/,/files/ENCFF925PFH/,/files/ENCFF026DYW/,/files/ENCFF629BWC/,/files/ENCFF159XCA/,/files/ENCFF554EXL/,/files/ENCFF333RBC/,/files/ENCFF276VMR/,/files/ENCFF294PQK/,/files/ENCFF344NGR/,/files/ENCFF405MXY/,/files/ENCFF968UQX/,/files/ENCFF303CMO/,/files/ENCFF530HPJ/,/files/ENCFF972CIR/,/files/ENCFF589AMU/,/files/ENCFF194EIB/,/files/ENCFF594IFZ/,/files/ENCFF516SSQ/,/files/ENCFF747RSE/,/files/ENCFF069JHG/,/files/ENCFF436LZA/,/files/ENCFF364VSQ/,/files/ENCFF020KJB/,/files/ENCFF665XGI/,/files/ENCFF898NJG/		ENCBS702JVJ,ENCBS247PWX	1,2	1	ENCAB728YTO	Drosophila melanogaster	embryonic	0-18 hours										/organisms/dmelanogaster/		/replicates/7e0e6d60-d499-46c8-8561-b4fbee5816dc/,/replicates/be7a4635-41c6-4487-9eff-87dcd992df80/				
/experiments/ENCSR804DDF/	ENCSR804DDF	ChIP-seq	TF ChIP-seq	whole organisms	/targets/Poxn-dmelanogaster/	Poxn	Poxn	Drosophila melanogaster strain Poxn-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Poxn	whole organism	GEO:GSE258818	ChIP-seq on transgenic flies expressing Poxn-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF706WTM/,/files/ENCFF049AGG/,/files/ENCFF286FFZ/,/files/ENCFF749OOC/,/files/ENCFF715TTJ/,/files/ENCFF038FCW/,/files/ENCFF674BGY/,/files/ENCFF324SWU/,/files/ENCFF554EFJ/,/files/ENCFF955INY/,/files/ENCFF210XMZ/,/files/ENCFF945TOM/,/files/ENCFF045JIW/,/files/ENCFF897GYD/,/files/ENCFF476EKO/,/files/ENCFF416EHO/,/files/ENCFF979SCC/,/files/ENCFF673IAV/,/files/ENCFF308ZNQ/,/files/ENCFF583VOG/,/files/ENCFF689ZTE/,/files/ENCFF373CDW/,/files/ENCFF800UCN/,/files/ENCFF284IVQ/,/files/ENCFF123EPW/,/files/ENCFF229YCM/		ENCBS345QWL,ENCBS794INN	1,2	1	ENCAB728YTO	Drosophila melanogaster	embryonic	0-24 hours										/organisms/dmelanogaster/		/replicates/3fa80574-1dee-4394-9faf-2b1e414d56d9/,/replicates/97375e9a-251a-4b65-bb59-de2ee0336711/				
/experiments/ENCSR582XIG/	ENCSR582XIG	ChIP-seq	TF ChIP-seq	whole organisms	/targets/CG32532-dmelanogaster/	CG32532	CG32532	Drosophila melanogaster strain CG32532-GFP whole organism embryo (8-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG32532	whole organism	GEO:GSE257886	ChIP-seq on transgenic flies expressing CG32532-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF718KDC/,/files/ENCFF580IIL/,/files/ENCFF461YEP/,/files/ENCFF731WRM/,/files/ENCFF607LVG/,/files/ENCFF757GHH/,/files/ENCFF156MAK/,/files/ENCFF834YFY/,/files/ENCFF876ABI/,/files/ENCFF409HYA/,/files/ENCFF492JOY/,/files/ENCFF493LCG/,/files/ENCFF409FZK/,/files/ENCFF932VEI/,/files/ENCFF442IMR/,/files/ENCFF699EDB/,/files/ENCFF644LOP/,/files/ENCFF174GLT/,/files/ENCFF210CKP/,/files/ENCFF737TNH/,/files/ENCFF365URR/,/files/ENCFF978JOT/,/files/ENCFF620TOE/,/files/ENCFF074STB/,/files/ENCFF573VYM/,/files/ENCFF347KZU/		ENCBS513FKE,ENCBS983MMV	1,2	1	ENCAB728YTO	Drosophila melanogaster	embryonic	8-24 hours										/organisms/dmelanogaster/		/replicates/46a2b122-ff3a-41a1-80de-195f39777215/,/replicates/21575fcd-83f4-4c37-a096-bfad68fc194a/				
/experiments/ENCSR992BYJ/	ENCSR992BYJ	ChIP-seq	TF ChIP-seq	whole organisms	/targets/Ada2b-dmelanogaster/	Ada2b	Ada2b	Drosophila melanogaster strain Ada2b-GFP whole organism embryo (0-18 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Ada2b	whole organism	GEO:GSE259038	ChIP-seq on transgenic flies expressing Ada2b-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF205ITJ/,/files/ENCFF527UCG/,/files/ENCFF381AHD/,/files/ENCFF031YIJ/,/files/ENCFF120PZM/,/files/ENCFF835COD/,/files/ENCFF259WJV/,/files/ENCFF983WGE/,/files/ENCFF147OMU/,/files/ENCFF090OLM/,/files/ENCFF917RCL/,/files/ENCFF596FYO/,/files/ENCFF534AAX/,/files/ENCFF868VRT/,/files/ENCFF301COK/,/files/ENCFF333ZPX/,/files/ENCFF355DPH/,/files/ENCFF252EQF/,/files/ENCFF279DFN/,/files/ENCFF957OFD/,/files/ENCFF069UTQ/,/files/ENCFF666NPE/,/files/ENCFF345BQN/,/files/ENCFF033RGB/,/files/ENCFF416BLT/,/files/ENCFF576SRM/		ENCBS666SBX,ENCBS976JZF	1,2	1	ENCAB728YTO	Drosophila melanogaster	embryonic	0-18 hours										/organisms/dmelanogaster/		/replicates/e9760607-cefb-4b4f-ac94-896bb1a1ad9b/,/replicates/373700e1-d881-4201-a4e9-6702f54a7aa9/				
/experiments/ENCSR676IZR/	ENCSR676IZR	ChIP-seq	TF ChIP-seq	whole organisms	/targets/Aef1-dmelanogaster/	Aef1	Aef1	Drosophila melanogaster strain Aef1-GFP whole organism embryo (0-24 hours) genetically modified (insertion) using site-specific recombination targeting D. melanogaster Aef1	whole organism	GEO:GSE258890	ChIP-seq on transgenic flies expressing Aef1-eGFP fusion proteins. The IP was performed using an anti-GFP antibody.	Kevin White, UChicago	modERN	released	/files/ENCFF238ZJP/,/files/ENCFF052NAK/,/files/ENCFF943FFT/,/files/ENCFF936JYG/,/files/ENCFF836HVD/,/files/ENCFF291YLZ/,/files/ENCFF466QAO/,/files/ENCFF242YMJ/,/files/ENCFF878AFZ/,/files/ENCFF982MRN/,/files/ENCFF374NMJ/,/files/ENCFF004GAI/,/files/ENCFF449HQJ/,/files/ENCFF459AAU/,/files/ENCFF509BHG/,/files/ENCFF487WYE/,/files/ENCFF123OGS/,/files/ENCFF098GBH/,/files/ENCFF524SWD/,/files/ENCFF014EUI/,/files/ENCFF187FTV/,/files/ENCFF980FRA/,/files/ENCFF923RCK/,/files/ENCFF318QHN/,/files/ENCFF481ZNP/,/files/ENCFF566SQT/,/files/ENCFF735ZGJ/,/files/ENCFF276JHP/,/files/ENCFF858GWQ/,/files/ENCFF981RNH/,/files/ENCFF628LVU/,/files/ENCFF509BJU/,/files/ENCFF004SVR/,/files/ENCFF081VNP/,/files/ENCFF963KDK/,/files/ENCFF432MVY/,/files/ENCFF912LIZ/,/files/ENCFF608AXF/,/files/ENCFF445RLL/,/files/ENCFF176VTK/,/files/ENCFF480PFO/		ENCBS105ZPW,ENCBS657EOM,ENCBS564MSA	1,2,3	1	ENCAB728YTO	Drosophila melanogaster	embryonic	0-24 hours										/organisms/dmelanogaster/		/replicates/c1dff987-9a95-4e30-a89d-cd87f4adc811/,/replicates/171be1e3-8d68-4be2-b5ab-4b419bf2d693/,/replicates/f51be66e-b93d-4986-a2e9-2fe9564d6d28/				
