E12-24h	E2-10h	ES1	ES2	ES3	ES4	ES5	KC167	L3	S2	consInfo	embLow	l3Low	embMedian	l3Median
bantam-3p	10786.61	15781.9766666667	64340.574	15442.456	42007.604	12542.36	5232.7975	499791.825	8953.528	593945.08	1	TRUE	TRUE	TRUE	TRUE
bantam-5p	4225.88	4629.12666666667	661.328	121.126	398.544	211.9675	192.6525	2341.575	855.48	4190	0	TRUE	TRUE	TRUE	TRUE
let-7-3p	0	1.75	0	0	0	0	0.075	1.35	176.784	0	0	FALSE	TRUE	FALSE	TRUE
let-7-5p	453.46	34.9533333333333	9.736	1.252	13.264	13.1975	0.6075	77.945	11283.578	3.68	1	TRUE	TRUE	FALSE	TRUE
miR-1-3p	58380.85	64835.74	3238	3562.638	7540.914	8938.15	9586.735	6.365	95543.96	0.74	1	TRUE	TRUE	TRUE	TRUE
miR-1-5p	1437.57	23.76	0	1.184	0	0	1.155	0	354.322	0	0	TRUE	TRUE	FALSE	TRUE
miR-10-3p/1006-3p	14838.83	5367.21666666667	1501.956	5144.834	1595.01	6453.6325	9040.0825	23.16	6206.434	7.11	1	TRUE	TRUE	TRUE	TRUE
miR-10-5p	2026.11	32807.8833333333	1597.304	6246.826	2576.928	12295.6175	15275.6925	4.655	6783.956	0	1	TRUE	TRUE	TRUE	TRUE
miR-100-3p	0	0.366666666666667	0	0	0	0	0	0.65	55.342	0.49	0	FALSE	TRUE	FALSE	FALSE
miR-100-5p	19.3	8.21	325.528	7.856	48.538	7.1225	2.4025	8.78	501.042	0	1	FALSE	TRUE	FALSE	TRUE
miR-1000-3p	607.83	149.763333333333	0	0.696	0	0	0.1775	0	11.386	0	0	TRUE	TRUE	TRUE	FALSE
miR-1000-5p	887.63	7631.80666666667	1.138	0.628	0	0	0.4125	15.48	1416.54	2.21	1	TRUE	TRUE	TRUE	TRUE
miR-1001-3p	0	0.576666666666667	0	0	0	0	0	0	3.348	0	0	FALSE	FALSE	FALSE	FALSE
miR-1002-3p	511.35	461.813333333333	0	0	0	0	0	0	9.272	0	0	TRUE	FALSE	TRUE	FALSE
miR-1002-5p	820.09	3878.68666666667	2.276	0	0	0	0.0875	0	16.294	0	1	TRUE	TRUE	TRUE	FALSE
