FBgn_ID,Gene_name,FBgn_alias,CG_ID,CG_alias,tau,Age_classification
FBgn0000008,a,"FBgn0034701,FBgn0034702",CG6741,CG13505,0.608,Pan-drosophilid
FBgn0000014,abd-A,,CG10325,,0.725,Bilateria
FBgn0000015,Abd-B,"FBgn0002692,FBgn0010098,FBgn0026843,FBgn0026859,FBgn0038456,FBgn0038457",CG11648,CG10291,0.835,Bilateria
FBgn0000018,abo,FBgn0032323,CG6093,,0.432,Eukaryota
FBgn0000022,ac,,CG3796,,0.866,Pan-drosophilid
FBgn0000024,Ace,,CG17907,,0.665,Cellular_Organisms
FBgn0000028,acj6,"FBgn0004418,FBgn0030633",CG9151,,0.848,Diptera
FBgn0000032,Acph-1,FBgn0039729,CG7899,,0.374,Eukaryota
FBgn0000036,nAChRalpha1,,CG5610,,0.779,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000037,mAChR-A,,CG4356,,0.814,Bilateria
FBgn0000038,nAChRbeta1,,CG11348,CG12606,0.784,Bilateria
FBgn0000039,nAChRalpha2,,CG6844,,0.818,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000042,Act5C,"FBgn0025223,FBgn0026673,FBgn0026683,FBgn0026712,FBgn0027215,FBgn0027255,FBgn0027284,FBgn0027327,FBgn0028278,FBgn0040144,FBgn0040204",CG4027,,0.178,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000043,Act42A,,CG12051,,0.287,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000044,Act57B,"FBgn0019861,FBgn0050294,FBgn0065030",CG10067,CG30294,0.56,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000045,Act79B,,CG7478,,0.793,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
